word1,word2,pos,sv_score,relation,cf_score,include
walk,trail,V,4.81,COHYPONYMS,0.652405192,1
feed,starve,V,1.49,ANTONYMS,1.144359157,1
shine,polish,V,7.8,SYNONYMS,0.885529564,1
calculate,add,V,5.98,HYPER/HYPONYMS,0.967814116,1
cheat,sneak,V,3.65,NONE,0.778382093,1
pardon,forgive,V,8.96,HYPER/HYPONYMS,0.095772873,1
smell,sniff,V,7.97,HYPER/HYPONYMS,0.226839599,1
plow,dig,V,6.64,NONE,0.779872789,1
believe,pretend,V,1.66,NONE,0.761903475,1
tap,pat,V,6.97,NONE,0.553497184,1
condemn,kill,V,3.65,NONE,0.832106323,1
crunch,crack,V,3.65,NONE,0.821056503,1
erode,destroy,V,6.34,NONE,0.451062302,1
try,practice,V,4.65,NONE,0.827294325,1
tear,fold,V,0.66,NONE,0.974082069,1
replace,move,V,1.49,HYPER/HYPONYMS,0.848668412,1
respond,ignore,V,0.83,NONE,0.879379844,1
rationalize,argue,V,4.48,HYPER/HYPONYMS,0.940118822,1
laugh,sing,V,1.99,NONE,0.895860027,1
attack,sneak,V,1.66,COHYPONYMS,0.784455008,1
descend,go,V,3.32,HYPER/HYPONYMS,0.684748531,1
decompose,dissolve,V,6.14,NONE,0.688317665,1
miss,catch,V,0,NONE,1.005035661,1
yell,accuse,V,1.99,NONE,0.894105736,1
feel,touch,V,7.8,HYPER/HYPONYMS,0.777109725,1
connect,separate,V,1.49,ANTONYMS,0.975249317,1
decay,deteriorate,V,8.13,HYPER/HYPONYMS,0.447047216,1
protect,defend,V,7.8,HYPER/HYPONYMS,0.289807763,1
bake,broil,V,5.98,SYNONYMS,0.482415248,1
remove,detach,V,7.47,NONE,0.530463887,1
describe,define,V,7.97,NONE,0.447974627,1
drive,walk,V,1.49,COHYPONYMS,0.348528683,1
build,grow,V,4.81,HYPER/HYPONYMS,0.534279948,1
decay,decompose,V,8.3,SYNONYMS,0.407195328,1
cover,protect,V,6.81,HYPER/HYPONYMS,0.712397746,1
dislike,ignore,V,3.15,NONE,0.793182898,1
forget,recall,V,0.33,ANTONYMS,1.151848265,1
comprehend,learn,V,7.3,NONE,0.52615519,1
reflect,look,V,4.15,NONE,0.657888259,1
defeat,beat,V,8.47,HYPER/HYPONYMS,0.190279651,1
know,inform,V,1.99,NONE,0.732774629,1
remind,repeat,V,5.31,NONE,0.59341291,1
go,let,V,2.82,NONE,0.525262121,1
dislike,disown,V,3.82,NONE,0.771977958,1
go,advance,V,6.64,HYPER/HYPONYMS,0.916301169,1
produce,reproduce,V,5.98,HYPER/HYPONYMS,0.801817314,1
recommend,assist,V,4.15,NONE,0.80811454,1
shake,shiver,V,6.31,HYPER/HYPONYMS,0.14376014,1
take,carry,V,5.64,HYPER/HYPONYMS,0.320589555,1
accomplish,succeed,V,8.3,HYPER/HYPONYMS,0.615323306,1
drive,operate,V,4.98,HYPER/HYPONYMS,0.818851134,1
ask,tell,V,0.66,HYPER/HYPONYMS,0.751695321,1
gather,reap,V,5.98,HYPER/HYPONYMS,0.349975953,1
bend,break,V,4.65,NONE,0.871164691,1
tear,break,V,6.14,COHYPONYMS,0.760414397,1
jump,skip,V,5.48,SYNONYMS,0.234562339,1
agree,admit,V,3.98,NONE,0.462287254,1
give,bring,V,4.98,COHYPONYMS,0.398026564,1
go,move,V,6.31,SYNONYMS,0.36269069,1
kill,shoot,V,5.31,HYPER/HYPONYMS,0.27106371,1
crunch,chew,V,6.47,HYPER/HYPONYMS,0.860822957,1
carry,tow,V,4.98,NONE,0.777971358,1
sing,hum,V,5.98,COHYPONYMS,0.815037379,1
dismay,upset,V,6.64,NONE,0.591852708,1
shun,ignore,V,8.63,NONE,0.945358011,1
believe,know,V,3.65,NONE,0.485810547,1
hurt,smash,V,4.65,HYPER/HYPONYMS,0.696859944,1
prefer,hate,V,1,NONE,0.78769677,1
cook,bake,V,7.8,HYPER/HYPONYMS,0.23581956,1
reprimand,yell,V,4.48,NONE,0.890832636,1
break,destroy,V,8.3,HYPER/HYPONYMS,0.77807339,1
hit,slap,V,7.97,NONE,0.434046124,1
wrap,tie,V,5.31,NONE,0.781404215,1
upset,frustrate,V,7.64,NONE,0.580323742,1
show,preview,V,5.64,NONE,0.745426978,1
accuse,tell,V,2.49,NONE,0.760315374,1
hate,disown,V,4.48,NONE,0.764813937,1
pounce,bounce,V,2.99,NONE,0.098729658,1
respect,like,V,5.48,COHYPONYMS,0.750953024,1
sell,purchase,V,2.16,ANTONYMS,0.938847328,1
put,take,V,1.49,HYPER/HYPONYMS,0.609831401,1
charge,cover,V,1.66,NONE,0.888650211,1
melt,freeze,V,0.17,ANTONYMS,0.770472654,1
agree,differ,V,1.16,ANTONYMS,1.050674512,1
flap,fold,V,2.16,NONE,0.800525919,1
die,survive,V,0.15,NONE,0.825553689,1
pull,lift,V,2.82,COHYPONYMS,0.599605379,1
hitch,ride,V,4.48,HYPER/HYPONYMS,0.87182595,1
live,let,V,1.99,NONE,0.961147236,1
sow,plow,V,2.32,NONE,0.816995301,1
destroy,kill,V,7.8,HYPER/HYPONYMS,0.753941306,1
obtain,get,V,9.3,HYPER/HYPONYMS,0.154359069,1
buy,sell,V,0,ANTONYMS,1.129315498,1
deposit,put,V,6.47,HYPER/HYPONYMS,0.756981225,1
rise,wake,V,8.3,NONE,0.721185584,1
pray,kneel,V,1.83,NONE,0.616332221,1
jump,climb,V,1.99,HYPER/HYPONYMS,0.329155761,1
rescue,survive,V,1.16,NONE,0.76984778,1
succeed,overcome,V,6.97,NONE,0.715000548,1
look,examine,V,8.3,HYPER/HYPONYMS,0.567968483,1
delay,pause,V,8.13,HYPER/HYPONYMS,0.738193087,1
take,use,V,3.15,HYPER/HYPONYMS,0.750003974,1
color,decorate,V,4.48,COHYPONYMS,0.771027381,1
get,achieve,V,6.31,NONE,0.302888009,1
drink,intoxicate,V,4.23,NONE,0.70675938,1
die,deteriorate,V,2.49,NONE,0.991980706,1
treat,buy,V,4.98,NONE,0.882736345,1
dump,waste,V,5.98,COHYPONYMS,0.595108496,1
learn,evaluate,V,3.65,NONE,0.880585023,1
know,meet,V,2.82,NONE,0.706123423,1
compete,finish,V,4.98,NONE,0.883118002,1
sing,rap,V,5.58,NONE,0.847930614,1
beat,kill,V,3.65,HYPER/HYPONYMS,0.825191926,1
thaw,melt,V,8.47,SYNONYMS,0.171576926,1
kidnap,capture,V,7.8,NONE,0.648986842,1
gulp,slurp,V,4.98,NONE,0.287050979,1
walk,jog,V,4.32,NONE,0.695152211,1
