verb	bias	total_count	year_count
spot	modifier	54184	[('1744', 2), ('1749', 3), ('1753', 4), ('1787', 5), ('1795', 4), ('1796', 4), ('1799', 3), ('1800', 3), ('1801', 2), ('1802', 8), ('1803', 2), ('1804', 21), ('1805', 6), ('1806', 19), ('1807', 1), ('1808', 40), ('1809', 18), ('1810', 27), ('1811', 62), ('1812', 7), ('1813', 9), ('1814', 16), ('1815', 62), ('1816', 27), ('1817', 32), ('1818', 12), ('1819', 42), ('1820', 90), ('1821', 38), ('1822', 71), ('1823', 102), ('1824', 113), ('1825', 86), ('1826', 58), ('1827', 130), ('1828', 85), ('1829', 77), ('1830', 98), ('1831', 133), ('1832', 198), ('1833', 137), ('1834', 199), ('1835', 87), ('1836', 122), ('1837', 103), ('1838', 77), ('1839', 60), ('1840', 144), ('1841', 138), ('1842', 148), ('1843', 104), ('1844', 119), ('1845', 191), ('1846', 299), ('1847', 151), ('1848', 215), ('1849', 216), ('1850', 303), ('1851', 242), ('1852', 267), ('1853', 203), ('1854', 354), ('1855', 180), ('1856', 228), ('1857', 258), ('1858', 199), ('1859', 274), ('1860', 249), ('1861', 170), ('1862', 166), ('1863', 143), ('1864', 127), ('1865', 128), ('1866', 171), ('1867', 150), ('1868', 226), ('1869', 180), ('1870', 207), ('1871', 209), ('1872', 133), ('1873', 167), ('1874', 279), ('1875', 219), ('1876', 203), ('1877', 178), ('1878', 171), ('1879', 207), ('1880', 235), ('1881', 217), ('1882', 196), ('1883', 380), ('1884', 284), ('1885', 268), ('1886', 154), ('1887', 360), ('1888', 198), ('1889', 240), ('1890', 291), ('1891', 320), ('1892', 447), ('1893', 352), ('1894', 319), ('1895', 308), ('1896', 435), ('1897', 333), ('1898', 503), ('1899', 557), ('1900', 485), ('1901', 518), ('1902', 513), ('1903', 512), ('1904', 440), ('1905', 351), ('1906', 326), ('1907', 331), ('1908', 223), ('1909', 345), ('1910', 319), ('1911', 325), ('1912', 395), ('1913', 296), ('1914', 218), ('1915', 210), ('1916', 307), ('1917', 246), ('1918', 242), ('1919', 317), ('1920', 232), ('1921', 278), ('1922', 290), ('1923', 319), ('1924', 134), ('1925', 220), ('1926', 238), ('1927', 154), ('1928', 258), ('1929', 167), ('1930', 208), ('1931', 155), ('1932', 77), ('1933', 109), ('1934', 110), ('1935', 117), ('1936', 158), ('1937', 106), ('1938', 105), ('1939', 105), ('1940', 58), ('1941', 48), ('1942', 88), ('1943', 123), ('1944', 38), ('1945', 101), ('1946', 139), ('1947', 182), ('1948', 146), ('1949', 210), ('1950', 235), ('1951', 93), ('1952', 125), ('1953', 107), ('1954', 195), ('1955', 156), ('1956', 159), ('1957', 153), ('1958', 123), ('1959', 181), ('1960', 246), ('1961', 189), ('1962', 273), ('1963', 216), ('1964', 240), ('1965', 231), ('1966', 193), ('1967', 256), ('1968', 284), ('1969', 206), ('1970', 279), ('1971', 189), ('1972', 230), ('1973', 111), ('1974', 183), ('1975', 58), ('1976', 111), ('1977', 124), ('1978', 153), ('1979', 108), ('1980', 163), ('1981', 139), ('1982', 124), ('1983', 158), ('1984', 89), ('1985', 179), ('1986', 98), ('1987', 113), ('1988', 200), ('1989', 172), ('1990', 138), ('1991', 143), ('1992', 177), ('1993', 159), ('1994', 247), ('1995', 167), ('1996', 175), ('1997', 1438), ('1998', 264), ('1999', 230), ('2000', 2071), ('2001', 1077), ('2002', 383), ('2003', 717), ('2004', 1258), ('2005', 744), ('2006', 1409), ('2007', 3068), ('2008', 5067)]
spot	neither	20726	[('1726', 4), ('1729', 4), ('1801', 1), ('1802', 1), ('1803', 2), ('1804', 1), ('1806', 7), ('1808', 4), ('1809', 2), ('1811', 9), ('1815', 9), ('1816', 3), ('1817', 5), ('1820', 26), ('1821', 8), ('1822', 4), ('1823', 1), ('1824', 19), ('1825', 5), ('1827', 19), ('1828', 13), ('1829', 8), ('1830', 14), ('1831', 81), ('1832', 21), ('1833', 16), ('1834', 31), ('1835', 48), ('1836', 31), ('1837', 41), ('1838', 20), ('1839', 19), ('1840', 37), ('1841', 64), ('1842', 16), ('1843', 33), ('1844', 28), ('1845', 24), ('1846', 28), ('1847', 7), ('1848', 28), ('1849', 36), ('1850', 13), ('1851', 104), ('1852', 65), ('1853', 57), ('1854', 23), ('1855', 72), ('1856', 105), ('1857', 86), ('1858', 22), ('1859', 40), ('1860', 68), ('1861', 68), ('1862', 189), ('1863', 31), ('1864', 54), ('1865', 76), ('1866', 96), ('1867', 135), ('1868', 61), ('1869', 72), ('1870', 59), ('1871', 88), ('1872', 110), ('1873', 63), ('1874', 149), ('1875', 158), ('1876', 167), ('1877', 94), ('1878', 67), ('1879', 70), ('1880', 65), ('1881', 86), ('1882', 151), ('1883', 206), ('1884', 118), ('1885', 66), ('1886', 121), ('1887', 94), ('1888', 78), ('1889', 114), ('1890', 98), ('1891', 184), ('1892', 119), ('1893', 356), ('1894', 161), ('1895', 251), ('1896', 74), ('1897', 129), ('1898', 180), ('1899', 279), ('1900', 381), ('1901', 267), ('1902', 333), ('1903', 152), ('1904', 179), ('1905', 124), ('1906', 94), ('1907', 149), ('1908', 90), ('1909', 358), ('1910', 174), ('1911', 180), ('1912', 157), ('1913', 184), ('1914', 77), ('1915', 64), ('1916', 174), ('1917', 237), ('1918', 53), ('1919', 52), ('1920', 89), ('1921', 101), ('1922', 133), ('1923', 107), ('1924', 52), ('1925', 90), ('1926', 91), ('1927', 50), ('1928', 31), ('1929', 64), ('1930', 102), ('1931', 117), ('1932', 34), ('1933', 53), ('1934', 30), ('1935', 68), ('1936', 122), ('1937', 84), ('1938', 35), ('1939', 23), ('1940', 37), ('1941', 25), ('1942', 39), ('1943', 110), ('1944', 42), ('1945', 71), ('1946', 51), ('1947', 95), ('1948', 110), ('1949', 79), ('1950', 129), ('1951', 31), ('1952', 98), ('1953', 12), ('1954', 153), ('1955', 32), ('1956', 41), ('1957', 61), ('1958', 26), ('1959', 132), ('1960', 46), ('1961', 65), ('1962', 101), ('1963', 81), ('1964', 84), ('1965', 122), ('1966', 110), ('1967', 55), ('1968', 57), ('1969', 138), ('1970', 169), ('1971', 24), ('1972', 127), ('1973', 56), ('1974', 46), ('1975', 62), ('1976', 57), ('1977', 66), ('1978', 45), ('1979', 58), ('1980', 69), ('1981', 54), ('1982', 92), ('1983', 32), ('1984', 57), ('1985', 70), ('1986', 79), ('1987', 50), ('1988', 63), ('1989', 28), ('1990', 113), ('1991', 63), ('1992', 83), ('1993', 118), ('1994', 146), ('1995', 193), ('1996', 74), ('1997', 103), ('1998', 55), ('1999', 92), ('2000', 169), ('2001', 196), ('2002', 234), ('2003', 130), ('2004', 382), ('2005', 231), ('2006', 557), ('2007', 927), ('2008', 2198)]
spot	instrument	5656	[('1803', 5), ('1804', 4), ('1806', 7), ('1808', 4), ('1811', 1), ('1815', 10), ('1816', 3), ('1817', 10), ('1820', 3), ('1821', 5), ('1831', 16), ('1832', 2), ('1833', 14), ('1835', 21), ('1836', 4), ('1837', 20), ('1838', 23), ('1839', 10), ('1841', 30), ('1842', 5), ('1843', 8), ('1844', 20), ('1847', 5), ('1848', 5), ('1850', 1), ('1851', 70), ('1852', 34), ('1853', 26), ('1855', 11), ('1856', 15), ('1857', 8), ('1858', 8), ('1859', 12), ('1860', 32), ('1861', 36), ('1862', 22), ('1863', 4), ('1864', 23), ('1865', 13), ('1866', 5), ('1867', 10), ('1868', 13), ('1869', 15), ('1870', 27), ('1871', 18), ('1872', 11), ('1873', 27), ('1874', 20), ('1875', 14), ('1876', 31), ('1877', 1), ('1878', 3), ('1879', 6), ('1880', 13), ('1881', 28), ('1882', 47), ('1883', 163), ('1884', 35), ('1885', 48), ('1886', 8), ('1887', 40), ('1888', 61), ('1889', 20), ('1890', 10), ('1891', 123), ('1892', 17), ('1893', 97), ('1894', 25), ('1895', 42), ('1896', 49), ('1897', 25), ('1898', 131), ('1899', 93), ('1900', 146), ('1901', 104), ('1902', 63), ('1903', 12), ('1904', 44), ('1905', 15), ('1906', 13), ('1907', 26), ('1908', 32), ('1909', 44), ('1910', 60), ('1911', 69), ('1912', 94), ('1913', 67), ('1914', 10), ('1915', 36), ('1916', 36), ('1917', 48), ('1918', 9), ('1919', 13), ('1921', 50), ('1922', 15), ('1923', 20), ('1924', 14), ('1925', 9), ('1926', 34), ('1927', 13), ('1928', 10), ('1929', 19), ('1930', 11), ('1931', 33), ('1932', 20), ('1933', 12), ('1934', 12), ('1935', 10), ('1936', 8), ('1937', 15), ('1938', 8), ('1939', 15), ('1941', 3), ('1942', 1), ('1943', 20), ('1944', 17), ('1945', 13), ('1946', 4), ('1947', 37), ('1948', 12), ('1949', 21), ('1950', 34), ('1951', 20), ('1952', 11), ('1954', 37), ('1955', 10), ('1956', 46), ('1957', 72), ('1958', 6), ('1959', 12), ('1960', 10), ('1961', 21), ('1962', 19), ('1963', 47), ('1964', 32), ('1965', 21), ('1966', 21), ('1967', 15), ('1968', 9), ('1969', 40), ('1970', 64), ('1971', 5), ('1972', 36), ('1973', 3), ('1974', 14), ('1976', 5), ('1977', 10), ('1978', 8), ('1979', 3), ('1980', 19), ('1982', 31), ('1983', 18), ('1984', 2), ('1985', 27), ('1986', 19), ('1987', 11), ('1988', 28), ('1989', 1), ('1990', 16), ('1991', 32), ('1992', 23), ('1993', 7), ('1994', 24), ('1995', 130), ('1996', 10), ('1997', 16), ('1998', 5), ('1999', 14), ('2000', 19), ('2001', 57), ('2002', 33), ('2003', 29), ('2004', 124), ('2005', 47), ('2006', 167), ('2007', 272), ('2008', 621)]
spot	no_with	1524	[('1795', 9), ('1834', 35), ('1837', 35), ('1840', 35), ('1865', 9), ('1875', 9), ('1880', 70), ('1881', 9), ('1885', 58), ('1886', 10), ('1887', 10), ('1889', 20), ('1893', 10), ('1896', 4), ('1900', 71), ('1901', 20), ('1902', 3), ('1903', 20), ('1904', 6), ('1905', 3), ('1907', 28), ('1910', 210), ('1913', 10), ('1928', 9), ('1945', 2), ('1949', 2), ('1952', 18), ('1958', 2), ('1959', 4), ('1960', 3), ('1961', 2), ('1963', 2), ('1964', 1), ('1965', 35), ('1972', 6), ('1977', 6), ('1980', 9), ('1981', 41), ('1984', 9), ('1989', 1), ('1992', 9), ('1993', 9), ('1996', 3), ('1998', 12), ('1999', 3), ('2001', 1), ('2002', 9), ('2003', 36), ('2004', 206), ('2005', 23), ('2006', 70), ('2007', 118), ('2008', 179)]
squeeze	modifier	2530	[('1802', 1), ('1803', 2), ('1805', 1), ('1806', 1), ('1808', 3), ('1812', 3), ('1819', 1), ('1821', 1), ('1824', 2), ('1826', 1), ('1827', 1), ('1834', 3), ('1835', 3), ('1836', 2), ('1837', 6), ('1844', 1), ('1846', 5), ('1849', 1), ('1852', 4), ('1853', 12), ('1854', 1), ('1855', 1), ('1857', 6), ('1858', 8), ('1859', 14), ('1860', 9), ('1861', 4), ('1862', 9), ('1866', 26), ('1868', 5), ('1869', 5), ('1870', 3), ('1872', 6), ('1873', 5), ('1874', 1), ('1875', 3), ('1876', 3), ('1878', 6), ('1879', 27), ('1880', 3), ('1881', 5), ('1882', 3), ('1883', 3), ('1885', 1), ('1886', 6), ('1887', 7), ('1888', 6), ('1890', 60), ('1891', 37), ('1892', 8), ('1894', 9), ('1896', 2), ('1897', 33), ('1898', 15), ('1899', 6), ('1900', 3), ('1901', 1), ('1902', 5), ('1904', 57), ('1905', 14), ('1906', 102), ('1907', 11), ('1908', 2), ('1909', 33), ('1910', 22), ('1911', 9), ('1912', 24), ('1913', 58), ('1914', 16), ('1915', 9), ('1916', 24), ('1917', 31), ('1918', 18), ('1919', 13), ('1920', 14), ('1921', 8), ('1922', 33), ('1923', 15), ('1924', 15), ('1925', 11), ('1926', 11), ('1927', 24), ('1928', 10), ('1929', 6), ('1930', 8), ('1931', 4), ('1932', 1), ('1933', 5), ('1934', 1), ('1936', 15), ('1938', 1), ('1939', 1), ('1940', 12), ('1941', 7), ('1942', 8), ('1944', 3), ('1948', 5), ('1949', 26), ('1950', 4), ('1951', 10), ('1953', 5), ('1954', 11), ('1955', 27), ('1956', 1), ('1957', 8), ('1958', 9), ('1960', 8), ('1961', 28), ('1962', 20), ('1964', 8), ('1965', 3), ('1966', 17), ('1967', 8), ('1968', 8), ('1969', 10), ('1970', 28), ('1971', 30), ('1973', 9), ('1974', 7), ('1975', 5), ('1976', 8), ('1977', 24), ('1978', 5), ('1979', 5), ('1980', 5), ('1981', 24), ('1982', 20), ('1983', 18), ('1984', 43), ('1985', 19), ('1986', 12), ('1987', 11), ('1988', 14), ('1989', 4), ('1990', 44), ('1991', 23), ('1992', 35), ('1993', 32), ('1994', 35), ('1995', 19), ('1996', 43), ('1997', 8), ('1998', 12), ('1999', 39), ('2000', 87), ('2001', 41), ('2002', 44), ('2003', 40), ('2004', 80), ('2005', 40), ('2006', 43), ('2007', 126), ('2008', 167)]
squeeze	neither	1613	[('1803', 1), ('1806', 4), ('1810', 4), ('1811', 4), ('1815', 4), ('1822', 2), ('1824', 14), ('1825', 4), ('1826', 6), ('1833', 4), ('1839', 1), ('1843', 4), ('1847', 2), ('1852', 4), ('1855', 1), ('1859', 4), ('1867', 2), ('1868', 10), ('1869', 24), ('1870', 4), ('1872', 5), ('1873', 4), ('1878', 2), ('1879', 14), ('1881', 5), ('1883', 4), ('1884', 4), ('1885', 14), ('1886', 6), ('1887', 2), ('1889', 10), ('1891', 6), ('1893', 10), ('1895', 4), ('1896', 7), ('1897', 9), ('1898', 31), ('1899', 3), ('1900', 1), ('1901', 8), ('1902', 10), ('1904', 16), ('1905', 6), ('1906', 3), ('1907', 7), ('1908', 4), ('1909', 4), ('1910', 11), ('1912', 8), ('1913', 72), ('1914', 21), ('1915', 3), ('1916', 11), ('1917', 10), ('1918', 20), ('1919', 2), ('1920', 10), ('1921', 18), ('1923', 20), ('1925', 11), ('1930', 2), ('1934', 28), ('1935', 6), ('1936', 20), ('1937', 1), ('1939', 2), ('1940', 5), ('1941', 2), ('1942', 33), ('1943', 3), ('1945', 3), ('1946', 7), ('1947', 3), ('1948', 2), ('1949', 18), ('1950', 22), ('1952', 3), ('1953', 3), ('1955', 3), ('1956', 39), ('1957', 4), ('1960', 4), ('1961', 10), ('1962', 3), ('1963', 4), ('1964', 4), ('1965', 20), ('1967', 16), ('1968', 20), ('1969', 10), ('1970', 11), ('1971', 18), ('1972', 17), ('1973', 8), ('1974', 7), ('1975', 2), ('1977', 8), ('1978', 1), ('1979', 1), ('1980', 5), ('1981', 6), ('1983', 1), ('1984', 7), ('1985', 10), ('1986', 1), ('1987', 10), ('1989', 1), ('1990', 5), ('1992', 13), ('1993', 7), ('1994', 19), ('1995', 7), ('1996', 16), ('1997', 141), ('1999', 7), ('2000', 60), ('2001', 45), ('2002', 20), ('2003', 2), ('2004', 14), ('2005', 5), ('2006', 23), ('2007', 91), ('2008', 205)]
squeeze	instrument	2103	[('1804', 2), ('1806', 9), ('1810', 9), ('1811', 9), ('1815', 9), ('1822', 2), ('1824', 14), ('1825', 9), ('1826', 9), ('1833', 9), ('1839', 9), ('1841', 2), ('1843', 9), ('1847', 2), ('1848', 4), ('1854', 5), ('1855', 5), ('1856', 5), ('1857', 5), ('1858', 5), ('1859', 9), ('1861', 12), ('1867', 1), ('1868', 3), ('1869', 18), ('1871', 14), ('1872', 1), ('1878', 1), ('1879', 12), ('1880', 2), ('1881', 6), ('1883', 3), ('1885', 1), ('1886', 1), ('1887', 1), ('1889', 23), ('1890', 10), ('1891', 2), ('1893', 13), ('1895', 1), ('1896', 11), ('1897', 11), ('1898', 7), ('1899', 2), ('1900', 1), ('1902', 1), ('1905', 3), ('1906', 7), ('1907', 9), ('1909', 8), ('1910', 4), ('1912', 9), ('1913', 63), ('1914', 28), ('1915', 17), ('1916', 14), ('1917', 16), ('1918', 20), ('1919', 2), ('1920', 14), ('1921', 15), ('1923', 18), ('1924', 2), ('1925', 12), ('1928', 1), ('1930', 2), ('1932', 1), ('1934', 36), ('1935', 30), ('1936', 29), ('1937', 1), ('1939', 2), ('1940', 7), ('1941', 5), ('1942', 86), ('1943', 24), ('1945', 17), ('1946', 2), ('1947', 12), ('1948', 15), ('1949', 43), ('1950', 31), ('1952', 8), ('1953', 18), ('1955', 18), ('1956', 22), ('1957', 6), ('1959', 1), ('1960', 9), ('1961', 2), ('1962', 14), ('1963', 11), ('1964', 9), ('1965', 20), ('1966', 1), ('1967', 30), ('1968', 27), ('1969', 16), ('1970', 19), ('1971', 6), ('1972', 15), ('1973', 11), ('1974', 21), ('1976', 1), ('1978', 6), ('1979', 10), ('1980', 18), ('1981', 32), ('1982', 2), ('1983', 9), ('1984', 11), ('1985', 19), ('1986', 10), ('1987', 17), ('1988', 5), ('1989', 1), ('1990', 5), ('1991', 3), ('1992', 30), ('1993', 11), ('1994', 21), ('1995', 1), ('1996', 11), ('1997', 17), ('1998', 9), ('1999', 18), ('2000', 68), ('2001', 33), ('2002', 58), ('2003', 87), ('2004', 30), ('2005', 28), ('2006', 35), ('2007', 100), ('2008', 209)]
squeeze	no_with	1737	[('1839', 28), ('1847', 9), ('1848', 12), ('1850', 10), ('1851', 12), ('1852', 3), ('1853', 8), ('1856', 18), ('1858', 1), ('1859', 3), ('1864', 1), ('1865', 9), ('1868', 2), ('1869', 3), ('1873', 5), ('1880', 3), ('1884', 2), ('1889', 1), ('1891', 2), ('1895', 1), ('1896', 1), ('1898', 9), ('1900', 8), ('1901', 2), ('1902', 2), ('1903', 16), ('1904', 1), ('1905', 53), ('1906', 8), ('1907', 3), ('1908', 1), ('1909', 14), ('1910', 10), ('1911', 101), ('1912', 12), ('1913', 14), ('1914', 8), ('1918', 7), ('1919', 8), ('1920', 1), ('1922', 55), ('1926', 9), ('1927', 13), ('1929', 3), ('1930', 52), ('1931', 10), ('1932', 13), ('1933', 39), ('1935', 3), ('1937', 16), ('1938', 26), ('1940', 3), ('1942', 3), ('1944', 8), ('1945', 1), ('1947', 12), ('1949', 22), ('1952', 3), ('1953', 16), ('1956', 2), ('1957', 12), ('1958', 22), ('1960', 26), ('1963', 13), ('1966', 2), ('1967', 13), ('1968', 14), ('1970', 3), ('1974', 13), ('1983', 8), ('1988', 13), ('1989', 38), ('1991', 3), ('1992', 14), ('1993', 20), ('1994', 2), ('1995', 3), ('1996', 1), ('1997', 41), ('1998', 21), ('2000', 9), ('2001', 60), ('2002', 38), ('2003', 31), ('2004', 14), ('2005', 97), ('2006', 73), ('2007', 164), ('2008', 248)]
locate	instrument	4007	[('1838', 2), ('1839', 1), ('1875', 50), ('1879', 2), ('1880', 2), ('1882', 21), ('1883', 10), ('1885', 90), ('1886', 39), ('1890', 10), ('1893', 3), ('1894', 1), ('1899', 9), ('1900', 38), ('1901', 10), ('1902', 22), ('1903', 16), ('1904', 33), ('1905', 2), ('1906', 8), ('1907', 10), ('1908', 9), ('1909', 3), ('1910', 20), ('1911', 6), ('1912', 13), ('1913', 2), ('1914', 27), ('1915', 6), ('1916', 85), ('1917', 2), ('1918', 23), ('1919', 111), ('1920', 9), ('1921', 18), ('1922', 12), ('1923', 5), ('1924', 18), ('1925', 12), ('1926', 1), ('1927', 10), ('1928', 7), ('1930', 16), ('1931', 26), ('1933', 4), ('1934', 26), ('1935', 9), ('1936', 3), ('1937', 2), ('1938', 8), ('1939', 6), ('1940', 74), ('1941', 32), ('1942', 21), ('1943', 19), ('1946', 34), ('1947', 43), ('1948', 24), ('1949', 19), ('1950', 125), ('1951', 21), ('1952', 4), ('1953', 29), ('1954', 3), ('1955', 27), ('1956', 4), ('1957', 26), ('1958', 55), ('1959', 25), ('1960', 35), ('1961', 22), ('1962', 40), ('1963', 40), ('1964', 27), ('1965', 35), ('1966', 43), ('1967', 59), ('1968', 46), ('1969', 11), ('1970', 85), ('1971', 20), ('1972', 46), ('1973', 49), ('1974', 18), ('1975', 24), ('1976', 61), ('1977', 17), ('1978', 14), ('1979', 14), ('1980', 12), ('1981', 34), ('1982', 35), ('1983', 24), ('1984', 16), ('1985', 26), ('1986', 19), ('1987', 22), ('1988', 6), ('1989', 11), ('1990', 42), ('1991', 32), ('1992', 72), ('1993', 52), ('1994', 32), ('1995', 21), ('1996', 22), ('1997', 12), ('1998', 15), ('1999', 27), ('2000', 61), ('2001', 69), ('2002', 37), ('2003', 202), ('2004', 119), ('2005', 89), ('2006', 282), ('2007', 222), ('2008', 225)]
locate	neither	3202	[('1838', 4), ('1839', 2), ('1861', 1), ('1862', 18), ('1866', 2), ('1871', 54), ('1875', 45), ('1880', 9), ('1882', 23), ('1883', 10), ('1885', 80), ('1886', 38), ('1888', 1), ('1890', 10), ('1897', 1), ('1899', 4), ('1900', 43), ('1901', 11), ('1902', 24), ('1903', 13), ('1904', 39), ('1905', 3), ('1906', 3), ('1907', 21), ('1908', 12), ('1909', 7), ('1910', 9), ('1911', 6), ('1914', 35), ('1915', 12), ('1916', 24), ('1917', 3), ('1918', 35), ('1919', 42), ('1920', 15), ('1921', 17), ('1922', 8), ('1923', 2), ('1924', 17), ('1925', 17), ('1927', 2), ('1929', 4), ('1930', 16), ('1931', 6), ('1933', 6), ('1934', 6), ('1935', 3), ('1938', 4), ('1939', 4), ('1940', 40), ('1941', 26), ('1942', 9), ('1943', 4), ('1946', 7), ('1947', 31), ('1948', 3), ('1949', 19), ('1950', 100), ('1951', 12), ('1952', 9), ('1953', 11), ('1954', 2), ('1955', 19), ('1956', 2), ('1957', 25), ('1958', 22), ('1959', 17), ('1960', 14), ('1961', 18), ('1962', 16), ('1963', 9), ('1964', 12), ('1965', 16), ('1966', 26), ('1967', 17), ('1968', 47), ('1969', 22), ('1970', 87), ('1971', 17), ('1972', 19), ('1973', 31), ('1974', 13), ('1975', 28), ('1976', 12), ('1977', 15), ('1978', 4), ('1979', 10), ('1980', 15), ('1981', 59), ('1982', 25), ('1983', 16), ('1984', 21), ('1985', 11), ('1986', 23), ('1987', 30), ('1988', 9), ('1989', 8), ('1990', 37), ('1991', 21), ('1992', 92), ('1993', 35), ('1994', 9), ('1995', 14), ('1996', 17), ('1997', 14), ('1998', 14), ('1999', 24), ('2000', 55), ('2001', 80), ('2002', 45), ('2003', 177), ('2004', 122), ('2005', 88), ('2006', 239), ('2007', 196), ('2008', 144)]
