word1,word2,pos,sv_score,relation,cf_score,include,one_minus_cf
walk,trail,V,4.81,COHYPONYMS,0.652405192,1,0.347594808007629
feed,starve,V,1.49,ANTONYMS,1.144359157,1,-0.14435915720503
shine,polish,V,7.8,SYNONYMS,0.885529564,1,0.114470435863131
calculate,add,V,5.98,HYPER/HYPONYMS,0.967814116,1,0.032185884135595
cheat,sneak,V,3.65,NONE,0.778382093,1,0.221617907355785
pardon,forgive,V,8.96,HYPER/HYPONYMS,0.095772873,1,0.904227127461856
smell,sniff,V,7.97,HYPER/HYPONYMS,0.226839599,1,0.773160401200623
plow,dig,V,6.64,NONE,0.779872789,1,0.220127210814458
believe,pretend,V,1.66,NONE,0.761903475,1,0.238096524879635
tap,pat,V,6.97,NONE,0.553497184,1,0.446502816230664
condemn,kill,V,3.65,NONE,0.832106323,1,0.167893677203357
crunch,crack,V,3.65,NONE,0.821056503,1,0.17894349687235
erode,destroy,V,6.34,NONE,0.451062302,1,0.548937698411044
try,practice,V,4.65,NONE,0.827294325,1,0.172705675231088
tear,fold,V,0.66,NONE,0.974082069,1,0.02591793123879
replace,move,V,1.49,HYPER/HYPONYMS,0.848668412,1,0.151331587646023
respond,ignore,V,0.83,NONE,0.879379844,1,0.120620156379861
rationalize,argue,V,4.48,HYPER/HYPONYMS,0.940118822,1,0.059881178215628
laugh,sing,V,1.99,NONE,0.895860027,1,0.1041399729402
attack,sneak,V,1.66,COHYPONYMS,0.784455008,1,0.215544992263148
descend,go,V,3.32,HYPER/HYPONYMS,0.684748531,1,0.315251469172504
decompose,dissolve,V,6.14,NONE,0.688317665,1,0.311682334704759
miss,catch,V,0,NONE,1.005035661,1,-0.005035660942097
yell,accuse,V,1.99,NONE,0.894105736,1,0.105894263656625
feel,touch,V,7.8,HYPER/HYPONYMS,0.777109725,1,0.222890274737177
connect,separate,V,1.49,ANTONYMS,0.975249317,1,0.024750682513196
decay,deteriorate,V,8.13,HYPER/HYPONYMS,0.447047216,1,0.552952784058198
protect,defend,V,7.8,HYPER/HYPONYMS,0.289807763,1,0.710192237122416
bake,broil,V,5.98,SYNONYMS,0.482415248,1,0.517584751892462
remove,detach,V,7.47,NONE,0.530463887,1,0.469536112608992
describe,define,V,7.97,NONE,0.447974627,1,0.552025373176097
drive,walk,V,1.49,COHYPONYMS,0.348528683,1,0.651471316723134
build,grow,V,4.81,HYPER/HYPONYMS,0.534279948,1,0.465720052234312
decay,decompose,V,8.3,SYNONYMS,0.407195328,1,0.592804672338687
cover,protect,V,6.81,HYPER/HYPONYMS,0.712397746,1,0.287602254281794
dislike,ignore,V,3.15,NONE,0.793182898,1,0.206817101681953
forget,recall,V,0.33,ANTONYMS,1.151848265,1,-0.151848264796644
comprehend,learn,V,7.3,NONE,0.52615519,1,0.473844809739685
reflect,look,V,4.15,NONE,0.657888259,1,0.342111740739916
defeat,beat,V,8.47,HYPER/HYPONYMS,0.190279651,1,0.809720348723993
know,inform,V,1.99,NONE,0.732774629,1,0.267225371129243
remind,repeat,V,5.31,NONE,0.59341291,1,0.406587090392037
go,let,V,2.82,NONE,0.525262121,1,0.47473787855207
dislike,disown,V,3.82,NONE,0.771977958,1,0.228022041753171
go,advance,V,6.64,HYPER/HYPONYMS,0.916301169,1,0.083698830854119
produce,reproduce,V,5.98,HYPER/HYPONYMS,0.801817314,1,0.198182685740428
recommend,assist,V,4.15,NONE,0.80811454,1,0.191885460080947
shake,shiver,V,6.31,HYPER/HYPONYMS,0.14376014,1,0.856239859756054
take,carry,V,5.64,HYPER/HYPONYMS,0.320589555,1,0.679410444780496
accomplish,succeed,V,8.3,HYPER/HYPONYMS,0.615323306,1,0.384676694262654
drive,operate,V,4.98,HYPER/HYPONYMS,0.818851134,1,0.181148865937869
ask,tell,V,0.66,HYPER/HYPONYMS,0.751695321,1,0.248304679179626
gather,reap,V,5.98,HYPER/HYPONYMS,0.349975953,1,0.650024046909293
bend,break,V,4.65,NONE,0.871164691,1,0.128835308631616
tear,break,V,6.14,COHYPONYMS,0.760414397,1,0.23958560250392
jump,skip,V,5.48,SYNONYMS,0.234562339,1,0.765437661148606
agree,admit,V,3.98,NONE,0.462287254,1,0.537712746345615
give,bring,V,4.98,COHYPONYMS,0.398026564,1,0.60197343581222
go,move,V,6.31,SYNONYMS,0.36269069,1,0.637309310449163
kill,shoot,V,5.31,HYPER/HYPONYMS,0.27106371,1,0.728936290456185
crunch,chew,V,6.47,HYPER/HYPONYMS,0.860822957,1,0.139177043326442
carry,tow,V,4.98,NONE,0.777971358,1,0.222028642308125
sing,hum,V,5.98,COHYPONYMS,0.815037379,1,0.184962620865184
dismay,upset,V,6.64,NONE,0.591852708,1,0.408147291992336
shun,ignore,V,8.63,NONE,0.945358011,1,0.054641988988793
believe,know,V,3.65,NONE,0.485810547,1,0.51418945318428
hurt,smash,V,4.65,HYPER/HYPONYMS,0.696859944,1,0.303140055914127
prefer,hate,V,1,NONE,0.78769677,1,0.212303229615502
cook,bake,V,7.8,HYPER/HYPONYMS,0.23581956,1,0.764180439663341
reprimand,yell,V,4.48,NONE,0.890832636,1,0.109167364232345
break,destroy,V,8.3,HYPER/HYPONYMS,0.77807339,1,0.221926609780774
hit,slap,V,7.97,NONE,0.434046124,1,0.565953875776578
wrap,tie,V,5.31,NONE,0.781404215,1,0.218595784817444
upset,frustrate,V,7.64,NONE,0.580323742,1,0.419676258009427
show,preview,V,5.64,NONE,0.745426978,1,0.254573022104548
accuse,tell,V,2.49,NONE,0.760315374,1,0.239684625698728
hate,disown,V,4.48,NONE,0.764813937,1,0.235186063078236
pounce,bounce,V,2.99,NONE,0.098729658,1,0.901270341995876
respect,like,V,5.48,COHYPONYMS,0.750953024,1,0.249046976099623
sell,purchase,V,2.16,ANTONYMS,0.938847328,1,0.061152672438543
put,take,V,1.49,HYPER/HYPONYMS,0.609831401,1,0.390168599150617
charge,cover,V,1.66,NONE,0.888650211,1,0.111349789156318
melt,freeze,V,0.17,ANTONYMS,0.770472654,1,0.229527345893271
agree,differ,V,1.16,ANTONYMS,1.050674512,1,-0.0506745118217
flap,fold,V,2.16,NONE,0.800525919,1,0.19947408086656
die,survive,V,0.15,NONE,0.825553689,1,0.17444631129577
pull,lift,V,2.82,COHYPONYMS,0.599605379,1,0.400394621181129
hitch,ride,V,4.48,HYPER/HYPONYMS,0.87182595,1,0.128174049764344
live,let,V,1.99,NONE,0.961147236,1,0.038852764077945
sow,plow,V,2.32,NONE,0.816995301,1,0.183004698799712
destroy,kill,V,7.8,HYPER/HYPONYMS,0.753941306,1,0.246058693789782
obtain,get,V,9.3,HYPER/HYPONYMS,0.154359069,1,0.845640931005685
buy,sell,V,0,ANTONYMS,1.129315498,1,-0.129315498304657
deposit,put,V,6.47,HYPER/HYPONYMS,0.756981225,1,0.243018775089486
rise,wake,V,8.3,NONE,0.721185584,1,0.278814416103859
pray,kneel,V,1.83,NONE,0.616332221,1,0.383667779120429
jump,climb,V,1.99,HYPER/HYPONYMS,0.329155761,1,0.670844239391428
rescue,survive,V,1.16,NONE,0.76984778,1,0.230152219807316
succeed,overcome,V,6.97,NONE,0.715000548,1,0.284999452368917
