word1,word2,pos,sv_score,relation,cf_score
walk,trail,V,4.81,COHYPONYMS,0.6524051919923711
feed,starve,V,1.49,ANTONYMS,1.1443591572050305
shine,polish,V,7.8,SYNONYMS,0.8855295641368691
calculate,add,V,5.98,HYPER/HYPONYMS,0.9678141158644052
cheat,sneak,V,3.65,NONE,0.7783820926442153
pardon,forgive,V,8.96,HYPER/HYPONYMS,0.09577287253814426
smell,sniff,V,7.97,HYPER/HYPONYMS,0.22683959879937687
plow,dig,V,6.64,NONE,0.7798727891855425
believe,pretend,V,1.66,NONE,0.7619034751203646
tap,pat,V,6.97,NONE,0.5534971837693364
condemn,kill,V,3.65,NONE,0.8321063227966427
crunch,crack,V,3.65,NONE,0.8210565031276496
erode,destroy,V,6.34,NONE,0.4510623015889559
try,practice,V,4.65,NONE,0.8272943247689121
tear,fold,V,0.66,NONE,0.9740820687612096
replace,move,V,1.49,HYPER/HYPONYMS,0.8486684123539774
respond,ignore,V,0.83,NONE,0.8793798436201392
rationalize,argue,V,4.48,HYPER/HYPONYMS,0.9401188217843717
laugh,sing,V,1.99,NONE,0.8958600270598003
attack,sneak,V,1.66,COHYPONYMS,0.7844550077368523
descend,go,V,3.32,HYPER/HYPONYMS,0.684748530827496
decompose,dissolve,V,6.14,NONE,0.6883176652952412
miss,catch,V,0.0,NONE,1.0050356609420967
yell,accuse,V,1.99,NONE,0.8941057363433753
feel,touch,V,7.8,HYPER/HYPONYMS,0.7771097252628234
connect,separate,V,1.49,ANTONYMS,0.9752493174868039
decay,deteriorate,V,8.13,HYPER/HYPONYMS,0.4470472159418023
protect,defend,V,7.8,HYPER/HYPONYMS,0.28980776287758403
bake,broil,V,5.98,SYNONYMS,0.482415248107538
remove,detach,V,7.47,NONE,0.5304638873910081
describe,define,V,7.97,NONE,0.44797462682390266
drive,walk,V,1.49,COHYPONYMS,0.3485286832768658
build,grow,V,4.81,HYPER/HYPONYMS,0.5342799477656883
decay,decompose,V,8.3,SYNONYMS,0.40719532766131317
cover,protect,V,6.81,HYPER/HYPONYMS,0.7123977457182062
dislike,ignore,V,3.15,NONE,0.7931828983180472
forget,recall,V,0.33,ANTONYMS,1.151848264796644
comprehend,learn,V,7.3,NONE,0.5261551902603149
reflect,look,V,4.15,NONE,0.6578882592600839
defeat,beat,V,8.47,HYPER/HYPONYMS,0.19027965127600655
know,inform,V,1.99,NONE,0.7327746288707573
remind,repeat,V,5.31,NONE,0.5934129096079628
go,let,V,2.82,NONE,0.5252621214479298
dislike,disown,V,3.82,NONE,0.771977958246829
go,advance,V,6.64,HYPER/HYPONYMS,0.9163011691458816
produce,reproduce,V,5.98,HYPER/HYPONYMS,0.8018173142595718
recommend,assist,V,4.15,NONE,0.8081145399190531
shake,shiver,V,6.31,HYPER/HYPONYMS,0.14376014024394546
take,carry,V,5.64,HYPER/HYPONYMS,0.3205895552195045
accomplish,succeed,V,8.3,HYPER/HYPONYMS,0.6153233057373463
drive,operate,V,4.98,HYPER/HYPONYMS,0.8188511340621306
ask,tell,V,0.66,HYPER/HYPONYMS,0.7516953208203738
gather,reap,V,5.98,HYPER/HYPONYMS,0.3499759530907066
bend,break,V,4.65,NONE,0.8711646913683837
